Product Name,Price,Description
Thé Noir Inde BIO Équitable en vrac,"34,15 € ht17,60 € ht",Arôme naturel : Non aromatisé Ingrédients : Thé Noir nature Bio Équitable Origine Inde région du Kerala*. *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 3 -...
Thé noir Assam Blatt TGFOP BIO en vrac,"35,35 € ht24,80 € ht",Thé noir nature Assam Blatt TGFOP équilibré. Issu de l‘agriculture biologique. Ingrédients : 100% thé noir Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
Thé noir Assam BOP CTC Sewpur BIO en vrac,"28,90 € ht24,90 € ht",Thé noir nature Sewpur est un petit domaine de thé sur les rives de la rivière Brahmaputra et est l'un des rares jardins de thé Assam certifiés agriculture biologiques. Cet...
Thé noir Rwanda Rukeri Bio en vrac,"31,35 € ht26,15 € ht",Thé noir nature Thé noir corsé avec une légère note malté. Tasse rouge foncée. Issue de l'agriculture biologique. Ingrédients : Dosage : 13 g/LTemps d'infusion : 3 - 5 MinTempérature...
Thé noir China op jinjing BIO en vrac,"21,95 € ht","Thé noir nature thé aromatique et doux, très plaisant. Issu de l‘agriculture biologique. Ingrédients : 100% thé noir Dosage : 13 g/LTemps d'infusion : 3 - 5 MinTempérature d'infusion :..."
Thé noir Keemun BIO en vrac,"25,30 € ht",Thé noir nature Excellent thé chinois doux et relevé par une note corsée. Ingrédients : 100% thé noirDosage : 12 g/LTemps d'infusion : 2 - 4 MinTempérature d'infusion : 100°...
Thé noir English breakfast broken BIO en vrac,"26,15 € ht",Thé noir nature Mélange de différents thés biologiques Assam et Ceylan. Liqueur dorée caractérisée par une Saveur très aromatique. Issu de l'agriculture biologique. Ingrédients : 100% thé noir Dosage :...
Thé noir Mélange russe BIO en vrac,"28,25 € ht","Thé noir nature Mélange de différents thés Keemun-, Darjeeling-, et Assam. Liqueur légèrement corsée. Issu de l‘agriculture biologique. Ingrédients : 100% thé noir Dosage : 12 - 15 g/LTemps d'infusion..."
Thé Bleu Fleur de Pois de Papillon BIO EN VRAC,"78,68 € ht","Ingrédients : 100% Fleur de Pois de Papillon issus de l'agriculture biologique La fleur de pois de papillon (Clitoria ternatea) est une plante originaire d'Asie du Sud-Est, bien que l'on..."
Thé Oolong Milky BIO en vrac,"56,30 € ht","Saveur Saveur Lait Ingrédients : China Oolong*, extrait de café, arôme naturel de vanille.* Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 2 - 4  MinTempérature d'infusion : 75..."
"Thé noir Melting pot (Datte, Figue) BIO en vrac","28,25 € ht","Arôme naturel : Datte-figue Ingrédients : Thé noir Assam*, -Inde du Sud*, datte (datte, farine de riz)* (24%), raisin (raisin, huile végétale)*, arôme naturel (citron), écorces de citron* (3%), fève..."
Thé noir PEPS (Gingembre-citron)  BIO en vrac,"28,45 € ht","Arôme naturel : Gingembre-citron Ingrédients : Thé noir Assam*, -Inde du Sud*, gingembre* (12%), citronnelle*, arôme naturel (citron), écorces de citron* (3%). *Issu de l'agriculture biologique Dosage : 12 -..."
Thé noir paquita BIO en vrac,"31,60 € ht","Saveur :  Non aromatisé Ingrédients : Thé noir Assam*, Inde du Sud*, bâtons de cannelle*, citronnelle*, écorces d'orange*, clous de girofle*, pétales de rose*, cardamome*. *Issu de l'agriculture biologique Dosage..."
Thé noir de noël ÉPICES ENCHANTÉS BIO en vrac,"33,70 € ht","Arôme naturel : Cannelle-orange Ingrédients : Thé noir Assam*, -Inde du Sud*, pomme*, écorces d'orange*, bâtons de cannelle*, arôme naturel (orange, cannelle), pétales de rose*, cardamome*. *Issu de l‘agriculture biologique..."
Thé noir flag (Orange) BIO en vrac,"33,70 € ht","Arôme naturel : Orange Ingrédients : Thé noir Assam*, Inde du Sud*, écorces d'orange* (9%), arôme naturel. *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 3..."
"Thé noir cococream (Noix de coco, crème) Bio en vrac","35,80 € ht","Arôme naturel : Noix de coco-crème Ingrédients : Thé noir Assam*, -Inde du Sud*, coco* (23%), arôme naturel de noix de coco, extrait de vanille*. *Issu de l'agriculture biologique. Dosage :..."
Thé noir du sud BIO en vrac,"35,60 € ht","Thé noir parfumé Non aromatisé Ingrédients : Gingembre, thé noir Assam CTC, bâtons de cannelle, romarin, thym, racine de réglisse, anis, feuilles de mûre, badiane, sauge, menthe, cardamome moulue.Dosage :..."
Thé noir Vanille BIO en vrac,"34,75 € ht","Arôme naturel : Vanille Ingrédients : Thé noir Assam*, -Inde du Sud*, extrait de vanille*, vanille* (1%). *Issu de l‘agriculture biologique Dosage : 13 g/LTemps d'infusion : 3 - 5..."
Thé noir Earl Grey (bergamote) BIO en vrac,"34,75 € ht","Arôme naturel : Saveur bergamote Ingrédients : Thé noir Assam*, -Inde du Sud*, arôme naturel (bergamote). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 3 -..."
Thé noir Blue Earl Grey (Bergamote) BIO en vrac,"34,75 € ht","Arôme naturel : Saveur bergamote Ingrédients : Thé noir Assam*, -Inde du Sud*, arôme naturel (bergamote), fleurs de bleuet*. *Issu de l‘agriculture biologique. Dosage : 12 - 15 g/LTemps d'infusion..."
Thé noir Golden yunnan gfop BIO en vrac,"34,75 € ht",Thé noir nature thé à la saveur aromatique et expressive avec une feuille régulière et bien travaillée. Issu de l‘agriculture biologique. Ingrédients : 100% thé noir Dosage : 12 -...
Thé noir Ceylan op venture BIO en vrac,"34,75 € ht","Thé noir nature Thé excellent, vif et aromatique de tasse cuivrée. Issu de l‘agriculture biologique. Ingrédients : 100% thé noirDosage : 13 g/LTemps d'infusion : 3 - 5 MinTempérature d'infusion..."
Thé noir ivoire (Cacao) BIO en vrac,"36,85 € ht","Arôme naturel : Cacao Ingrédients : Thé noir Assam*, -Inde du Sud*, thé noir Assam CTC*, fève de cacao concassée* (16%), coco*, extrait de cacao*. *Issu de l‘agriculture biologique Dosage..."
Thé noir Assam gfbop sewpur BIO en vrac,"33,70 € ht",Thé noir nature Excellent Assam broken aux arômes agréables et aromatiques. Issu de l‘agriculture biologique. Ingrédients : 100% thé noir Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification...
"Thé noir Goûter gourmand (reglisse, chocolat) BIO en vrac","37,70 € ht","Arôme naturel : Réglisse-chocolat Ingrédients : Thé noir Assam*, -Inde du Sud*, fève de cacao concassée* (13%), anis*, extrait de cacao*, badiane*, racine de réglisse* (4%), arôme naturel (anis). *Issu..."
